Vak,Vraag,1,2,3,4,5,,NVT,NA,N,Mean,Std. Deviation,Std. Error of Mean
MA_ugent,V1,24,294,594,1927,376,,0,0,3215,3.727,0.813,0.014
EMARCHSO,V1,2,2,0,7,0,,0,0,11,3.091,1.3,0.392
EM7LAN,V1,2,0,2,4,2,,0,0,10,3.4,1.43,0.452
EMCOMPSE,V1,0,2,1,7,6,,0,0,16,4.062,0.998,0.249
EMCOMPIC,V1,0,1,6,14,1,,0,0,22,3.682,0.646,0.138
EM7ELIIC,V1,0,1,4,5,1,,0,0,11,3.545,0.82,0.247
EM7BOU,V1,0,1,9,22,2,,0,0,34,3.735,0.618,0.106
EMARCHAO,V1,0,2,4,17,0,,0,0,23,3.652,0.647,0.135
EM6ION,V1,0,2,4,6,1,,0,0,13,3.462,0.877,0.243
EM7INF,V1,0,1,7,16,9,,0,0,33,4,0.791,0.138
EM6ELIMI,V1,0,1,1,5,1,,0,0,8,3.75,0.886,0.313
EM7ELM,V1,0,0,12,22,2,,0,0,36,3.722,0.566,0.094
EM7ELTAU,V1,0,0,2,7,0,,0,0,9,3.778,0.441,0.147
EM7ELIEL,V1,0,0,1,3,1,,0,0,5,4,0.707,0.316
EM6ELTET,V1,0,0,1,1,1,,0,0,3,4,1,0.577
EM6ELTAU,V1,0,0,1,3,2,,0,0,6,4.167,0.753,0.307
EM7CHE,V1,0,0,1,15,2,,0,0,18,4.056,0.416,0.098
EM6ELM,V1,0,0,1,8,1,,0,0,10,4,0.471,0.149
EMFOTO,V1,0,0,1,1,3,,0,0,5,4.4,0.894,0.4
EM7ELTET,V1,0,0,1,4,0,,0,0,5,3.8,0.447,0.2
EM6ELIIC,V1,0,0,1,1,0,,0,0,2,3.5,0.707,0.5
EM6ELIEL,V1,0,0,1,1,0,,0,0,2,3.5,0.707,0.5
EMCIVI,V1,0,1,4,35,6,,0,0,46,4,0.558,0.082
EMPHYS,V1,1,1,2,9,3,,0,0,16,3.75,1.065,0.266
EMCHEM,V1,0,0,1,8,5,,0,0,14,4.286,0.611,0.163
EMIEOR,V1,0,0,3,7,2,,0,0,12,3.917,0.669,0.193
EMFIRE,V1,0,0,1,7,3,,0,0,11,4.182,0.603,0.182
EMELMEME,V1,0,1,3,16,4,,0,0,24,3.958,0.69,0.141
EMBIME,V1,0,0,0,2,1,,0,0,3,4.333,0.577,0.333
EMBIEN,V1,0,0,6,2,0,,0,0,8,3.25,0.463,0.164
EMELEN,V1,0,3,4,10,1,,0,0,18,3.5,0.857,0.202
EMELMERA,V1,0,1,0,5,1,,0,0,7,3.857,0.9,0.34
EMEMMP,V1,0,0,0,0,4,,0,0,4,5,0,0
EMELMEMC,V1,0,0,1,4,0,,0,0,5,3.8,0.447,0.2
EMELMEEE,V1,0,0,4,0,0,,0,0,4,3,0,0
EMELMEMT,V1,0,1,0,5,1,,0,0,7,3.857,0.9,0.34
EMPHOE,V1,0,0,0,0,2,,0,0,2,5,0,0
